id,case_id,observable_class,raw_standardized_discrepancy,richardson_standardized_discrepancy,se_inflation,precision_1pct_pass,stronger_tau_pass,convergence_ratio,convergence_ratio_status,diagnostic_flags
core-P:u_xx,core-P,uu,-0.107795207366101,-0.1077952073647826,1.0,True,True,,indeterminate_negligible_fine_gap,convergence_ratio_indeterminate
core-P:speed,core-P,vv,2.0032581512063943,-0.04949280070726048,0.9992283399493054,True,True,2.0011811059227074,reported_diagnostic_only,
core-P:spatial,core-P,stationary_variance,0.014424972833121635,-0.2606833633502073,0.9997618059705621,True,True,2.0201747829851477,reported_diagnostic_only,
core-V:u_xx,core-V,uu,-0.1648023215882191,-0.16480232158744174,0.9999999999999998,True,True,,indeterminate_negligible_fine_gap,convergence_ratio_indeterminate
core-V:speed,core-V,vv,8.139691044084076,2.048165650921218,0.998786903051636,True,True,2.0056424980406367,reported_diagnostic_only,raw_abs_standardized_discrepancy_gt_3
core-V:spatial,core-V,d_eff,-1.179184067443431,-1.0452580228127517,1.0002791274266456,True,True,2.030511351102927,reported_diagnostic_only,
core-V:v_x,core-V,symmetry_forced_zero,-0.7019946609881981,-0.7005038229447089,0.9994180756221882,True,True,,indeterminate_negligible_fine_gap,convergence_ratio_indeterminate
core-Theta:u_xx,core-Theta,uu,-0.6949099167843158,-0.6949099167843158,1.0,True,True,,indeterminate_negligible_fine_gap,convergence_ratio_indeterminate
core-Theta:speed,core-Theta,vv,5.7032396075496035,-0.5127643892789058,0.9991342836367461,True,True,2.004153813796218,reported_diagnostic_only,raw_abs_standardized_discrepancy_gt_3
core-Theta:spatial,core-Theta,d_eff,1.28707877649798,1.3667009846607523,1.0001335197175718,True,True,1.9640620973490446,reported_diagnostic_only,
core-Theta:v_x,core-Theta,v_mean,1.832464420237139,-0.30888004842440864,0.9998999342393764,True,True,1.999710118099008,reported_diagnostic_only,
core-PV:u_xx,core-PV,uu,0.6881406117825016,0.6881406117832871,0.9999999999999997,True,True,,indeterminate_negligible_fine_gap,convergence_ratio_indeterminate
core-PV:speed,core-PV,vv,3.593844899718947,0.5105169205122015,0.9987858492082595,True,True,2.0046918135419096,reported_diagnostic_only,raw_abs_standardized_discrepancy_gt_3
core-PV:spatial,core-PV,stationary_variance,0.914239517188371,0.9712183834011644,0.9999245931483544,True,True,1.9174966603006096,reported_diagnostic_only,
core-PV:raw_msd,core-PV,rr,0.9140703123662824,0.9710506859095037,0.999924587533388,True,True,1.9174197223024547,reported_diagnostic_only,
core-PV:r_dot_v,core-PV,r_dot_v,0.008553986779926652,1.040206387397663,1.0000749248088474,True,True,2.004094666533731,reported_diagnostic_only,
core-PTheta:u_xx,core-PTheta,uu,0.372174895725582,0.3721748957255818,1.0000000000000004,True,True,,indeterminate_negligible_fine_gap,convergence_ratio_indeterminate
core-PTheta:speed,core-PTheta,vv,5.295016747521396,3.0129735475146453,0.9991375210180822,True,True,1.9991623384222474,reported_diagnostic_only,raw_abs_standardized_discrepancy_gt_3;richardson_abs_standardized_discrepancy_gt_3
core-PTheta:spatial,core-PTheta,stationary_variance,2.18764995314064,1.9310416669747001,0.999805009758128,True,True,1.98811401238085,reported_diagnostic_only,
core-VTheta:u_xx,core-VTheta,uu,1.4354324213778242,1.4354324213778242,1.0,True,True,,indeterminate_negligible_fine_gap,convergence_ratio_indeterminate
core-VTheta:speed,core-VTheta,vv,5.153418592424252,-0.5147823485462595,0.9987828289730657,True,True,2.004526640842825,reported_diagnostic_only,raw_abs_standardized_discrepancy_gt_3
core-VTheta:spatial,core-VTheta,d_eff,1.2379209749820375,1.366647585515295,1.0002965413650475,True,True,1.9584493931217186,reported_diagnostic_only,
core-VTheta:v_x,core-VTheta,v_mean,1.1862940816932925,-0.8949603285827669,0.9994506644302412,True,True,2.0010291914931426,reported_diagnostic_only,
core-PVTheta:u_xx,core-PVTheta,uu,1.4796015094898365,1.4796015094907065,1.0,True,True,,indeterminate_negligible_fine_gap,convergence_ratio_indeterminate
core-PVTheta:speed,core-PVTheta,vv,2.3637779987816745,-0.9620583011309468,0.9987818404165414,True,True,2.006236497171901,reported_diagnostic_only,
core-PVTheta:spatial,core-PVTheta,stationary_variance,0.1617879439151237,0.2596542499071126,0.9999874074049843,True,True,1.967517307636553,reported_diagnostic_only,
core-PVTheta:raw_msd,core-PVTheta,rr,0.26851202889238635,0.3302925272665703,0.9999234473648769,True,True,1.9535497659483447,reported_diagnostic_only,
core-PVTheta:r_dot_v,core-PVTheta,r_dot_v,-0.13159264891269037,0.9826547711789064,1.0000662925972412,True,True,2.0057007984481863,reported_diagnostic_only,
figure-rho0p15-P:spatial,figure-rho0p15-P,stationary_variance,-1.051165705183228,-1.1074147999401218,0.9999766354817093,True,True,2.0304610583470075,reported_diagnostic_only,
figure-rho0p15-V:spatial,figure-rho0p15-V,d_eff,0.9242279326735103,0.9273784610987019,1.0000103811397563,True,True,,indeterminate_negligible_fine_gap,convergence_ratio_indeterminate
figure-rho0p15-V:v_x,figure-rho0p15-V,symmetry_forced_zero,-0.8329513783362474,-0.8340797952338667,0.9998869761693524,True,True,,indeterminate_negligible_fine_gap,convergence_ratio_indeterminate
figure-rho0p15-Theta:spatial,figure-rho0p15-Theta,d_eff,-1.7757253913930884,-1.76047001157954,1.000026784067068,True,True,1.8025079347406752,reported_diagnostic_only,
figure-rho0p15-Theta:v_x,figure-rho0p15-Theta,v_mean,0.4982481140077363,-0.6383555847242428,0.9999478837096181,True,True,1.998751302386123,reported_diagnostic_only,
figure-rho0p15-PV:spatial,figure-rho0p15-PV,stationary_variance,-1.3497946650985386,-1.3656915655958766,0.9999792675975288,True,True,1.8849466370753565,reported_diagnostic_only,
figure-rho0p15-PTheta:spatial,figure-rho0p15-PTheta,stationary_variance,-1.9442320814682577,-1.9486823171076386,1.0000019180807473,True,True,2.1965706881494387,reported_diagnostic_only,
figure-rho0p15-VTheta:spatial,figure-rho0p15-VTheta,d_eff,1.3382673834133083,1.3621992439165278,1.0000360502558305,True,True,2.0367402883868118,reported_diagnostic_only,
figure-rho0p15-VTheta:v_x,figure-rho0p15-VTheta,v_mean,3.0107343965628632,1.7983430872118087,0.9998870809735578,True,True,2.0012737657142488,reported_diagnostic_only,raw_abs_standardized_discrepancy_gt_3
figure-rho0p15-PVTheta:spatial,figure-rho0p15-PVTheta,stationary_variance,1.3566354912069627,1.3902733529919837,1.0000422909664468,True,True,1.9154995724710318,reported_diagnostic_only,
figure-rho0p5-P:spatial,figure-rho0p5-P,stationary_variance,0.33898892644646095,0.2188056877506327,0.9998891933076922,True,True,2.0398910972854964,reported_diagnostic_only,
figure-rho0p5-V:spatial,figure-rho0p5-V,d_eff,2.2287732293166713,2.362965684646005,1.0002210675893415,True,True,2.0226576049982397,reported_diagnostic_only,
figure-rho0p5-V:v_x,figure-rho0p5-V,symmetry_forced_zero,0.25521826587320434,0.2556396208890022,0.9997828540711186,True,True,,indeterminate_negligible_fine_gap,convergence_ratio_indeterminate
figure-rho0p5-Theta:spatial,figure-rho0p5-Theta,d_eff,-0.3373339216096655,-0.2379070553148101,1.0001677847040131,True,True,1.9455181059670235,reported_diagnostic_only,
figure-rho0p5-Theta:v_x,figure-rho0p5-Theta,v_mean,2.8515184016994555,0.7453805839816598,0.9999811399438988,True,True,1.999909840079995,reported_diagnostic_only,
figure-rho0p5-PV:spatial,figure-rho0p5-PV,stationary_variance,-0.695063260353864,-0.6502402988762734,0.9999871817123622,True,False,1.9271275063195432,reported_diagnostic_only,
figure-rho0p5-PTheta:spatial,figure-rho0p5-PTheta,stationary_variance,-0.052063467930444814,-0.14693117386856008,0.9999565796278144,True,False,2.015408250828745,reported_diagnostic_only,
figure-rho0p5-VTheta:spatial,figure-rho0p5-VTheta,d_eff,0.5750870980755107,0.8153723249809542,1.0003948597671217,True,True,1.9816832979374053,reported_diagnostic_only,
figure-rho0p5-VTheta:v_x,figure-rho0p5-VTheta,v_mean,2.7675668103582014,0.3343569296689441,0.9999130027848806,True,True,2.0006136603776703,reported_diagnostic_only,
figure-rho0p5-PVTheta:spatial,figure-rho0p5-PVTheta,stationary_variance,-1.7496391139364569,-1.6204740043400985,1.0000568005459394,True,True,2.0130833236935697,reported_diagnostic_only,
figure-rho1p5-P:spatial,figure-rho1p5-P,stationary_variance,0.11436699931183673,-0.05467755326396054,0.9997774098089848,True,True,1.9931048164560274,reported_diagnostic_only,
