id,case_id,window,h_value,h_se,two_h_value,two_h_se,four_h_value,four_h_se,richardson_value,richardson_se,richardson_prime_value,richardson_prime_se,fine_gap_value,fine_gap_se,coarse_gap_value,coarse_gap_se,residual_value,residual_se,b_r
core-P:u_xx,core-P,0,0.4999818450889168,0.0001684203920267295,0.4999818450889166,0.00016842039202672943,0.4999818450889167,0.00016842039202672943,0.499981845088917,0.0001684203920267295,0.49998184508891647,0.00016842039202672943,2.220446049250313e-16,0.0,-1.1102230246251565e-16,0.0,6.661338147750939e-16,0.0,6.661338147750939e-16
core-P:u_xx,core-P,1,0.500030672944791,0.00020622022292909474,0.5000306729447908,0.00020622022292909463,0.5000306729447909,0.0002062202229290947,0.5000306729447912,0.00020622022292909482,0.5000306729447906,0.00020622022292909474,2.220446049250313e-16,0.0,-1.1102230246251565e-16,5.580404750416131e-12,4.440892098500626e-16,9.982531491114574e-12,2.571374122713432e-11
core-P:u_xx,core-P,2,0.5001249566441968,0.00023385653957877338,0.5001249566441969,0.0002338565395787732,0.5001249566441969,0.00023385653957877327,0.5001249566441966,0.0002338565395787735,0.5001249566441969,0.00023385653957877316,-1.1102230246251565e-16,0.0,0.0,2.4956328727786436e-12,-3.3306690738754696e-16,2.4956328727786436e-12,6.428657351388505e-12
core-P:speed,core-P,0,3.3034097820066077,0.00170211812419407,3.306903741599673,0.0017034384847389758,3.3138957875221724,0.0017060862482308988,3.2999158224135425,0.0017008046676360662,3.2999116956771735,0.0017008187553769131,-0.003493959593065199,3.6722828437137185e-06,-0.006992045922499468,7.395352081553533e-06,4.126736369514106e-06,8.592486720011166e-06,2.6259515452853466e-05
core-P:speed,core-P,1,3.3016130856718067,0.002079765929080794,3.305105646048382,0.0020813867886223868,3.3121039635213227,0.0020846307027652202,3.2981205252952313,0.002078153533346037,3.2981073285754414,0.0020781770807791473,-0.0034925603765754154,4.496247314932783e-06,-0.006998317472940663,9.033777823599183e-06,1.3196719789831945e-05,1.0494353694425874e-05,4.02283835572276e-05
core-P:speed,core-P,2,3.300093491616235,0.002360952468078031,3.3035828795679096,0.0023628134210923447,3.31058432939275,0.002366520183388651,3.296604103664561,0.002359101117042533,3.2965814297430693,0.0023591455236187833,-0.0034893879516744164,5.1102973466151944e-06,-0.0070014498248403,1.0267770161511138e-05,2.267392149057912e-05,1.1912467831181828e-05,5.3358405207138364e-05
core-P:spatial,core-P,0,3.3778611901514335,0.00578249779883097,3.3794516444459415,0.005783881640599206,3.382664640105197,0.005786818106986729,3.3762707358569255,0.005781120442380051,3.376238648786686,0.005780971347735493,-0.0015904542945079925,6.277531165012401e-06,-0.00321299565925548,1.2646378278415952e-05,3.2087070239494864e-05,1.4867493791228259e-05,7.038319641654493e-05
core-P:spatial,core-P,1,3.3795642116597664,0.007052457188920948,3.3811534986376732,0.007054183769232598,3.384373764391607,0.007057858235560152,3.3779749246818596,0.007050738517127363,3.3779332328837395,0.007050541371964511,-0.0015892869779068342,7.664329145737556e-06,-0.0032202657539337487,1.5479193102414764e-05,4.16917981196363e-05,1.816561384293982e-05,8.848331857234594e-05
core-P:spatial,core-P,2,3.3809118216349923,0.008023897886167012,3.3824999573251735,0.008025854377638739,3.385719514239705,0.00802992061785662,3.379323685944811,0.008021950334503205,3.379280400410642,0.008021824276784224,-0.001588135690181236,8.691519661216919e-06,-0.003219556914531463,1.750535000777481e-05,4.3285534168546747e-05,2.057995153324763e-05,9.629597639249574e-05
core-V:u_xx,core-V,0,0.4999882316486406,7.14088930665306e-05,0.49998823164864054,7.140889306653062e-05,0.49998823164864054,7.140889306653059e-05,0.49998823164864065,7.140889306653059e-05,0.49998823164864054,7.140889306653066e-05,5.551115123125783e-17,0.0,0.0,0.0,2.220446049250313e-16,2.599661824244309e-12,6.696507150683683e-12
